,ID,question_id,question,intructor_answers,answer,input
1480,1673,2023-07-09,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"Queue, the person who wanted to print first should be first served.",what data structure appropriate scheduling printing jobs printer stack queue queue person wanted print first first served
1481,1588,2023-04-09,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.",theoretically you could do it two ways one of which uses more processing power and memory no larger than the queue is ever at when full and the other which uses almost infinite memory. The more practical method would be two place the items in an array and remove the item in position one of the array after which you can shift the array and add another element if required. The other option which can use infinite memory when used for long term queues such as job scheduling that goes nonstop for extended periods. that is to implement an array and add the items read item one raise your counter value to two ecetera and continue adding more elements to the array. the downside to this method is after you use element one it is still in memory. or im crazy who knows,how implement queue list theoretically could two ways one uses processing power memory larger queue ever full uses almost infinite memory the practical method would two place items array remove item position one array shift array add another element required the option use infinite memory used long term queues job scheduling goes nonstop extended periods implement array add items read item one raise counter value two ecetera continue adding elements array downside method use element one still memory im crazy knows
1482,2204,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,"You run a program with different data sizes, like 10^x.  As you increase x and measure the completion speeds for the program, you can find patterns and attempt the measure the running time.  It's very important to keep the same software and hardware however, which makes experimental testing inferior to theoretical in the eyes of most.",what experimental approach measuring running time algorithm you run program different data sizes like as increase measure completion speeds program find patterns attempt measure running time it important keep software hardware however makes experimental testing inferior theoretical eyes most
1483,588,2023-06-03,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.","no base case, as in a single return that does not include calling the function again.  a static value to end at.",when defining recursive function possible causes infinite recursion base case single return include calling function again static value end at
1484,1779,2023-04-10,What is a binary tree?,A tree for which the maximum number of children per node is two.,a list of numbers that are ordered compared to how they compare to the other numbers already added in the tree,what binary tree list numbers ordered compared compare numbers already added tree
1485,351,2023-05-02,How many constructors can be created for a class?,Unlimited number.,one,how many constructors created class one
1486,867,2023-01-05,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",you take each element and insert it in the correct position with respect to all the elements before it,in one sentence main idea implemented insertion sort take element insert correct position respect elements
1487,80,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability.," Existing classes can be feused, Program maintenance and verification are easier",what main advantages associated object oriented programming existing classes feused program maintenance verification easier
1488,351,2023-05-02,How many constructors can be created for a class?,Unlimited number.,one,how many constructors created class one
1489,208,2023-01-02,What is typically included in a class definition?,Data members (attributes) and member functions., An object and data.,what typically included class definition an object data
1490,1927,2023-03-11,How are objects initialized when they are created?,By using constructors.,"They are initialized with a "" . "" (dot) between the constructor and the object being created.",how objects initialized created they initialized dot constructor object created
1491,1504,2023-07-08,What operations would you need to perform to find a given element on a stack?,"Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack.",you would need to perform a search through the list of elements (i dont really understand what this question is asking....its not very clear?),what operations would need perform find given element stack would need perform search list elements dont really understand question asking its clear
1492,95,2023-04-01, Where do C++ programs begin to execute?,At the main function., in the testing phase,where programs begin execute testing phase
1493,1948,2023-03-11,How are objects initialized when they are created?,By using constructors.,by giving them a value,how objects initialized created giving value
1494,1306,2023-07-07,What is the main disadvantage of a doubly-linked list over a basic linked list?,Extra space required to store the back pointers.,"Inserting and deleting in a double-linked list is more involved, and has special cases at the beginning and end.",what main disadvantage doubly linked list basic linked list inserting deleting double linked list involved special cases beginning end
1495,1807,2023-05-10,What is a binary search tree?,A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,it is similar to a binary tree.  The keys in a nonempty left subtree (right subtree) are smaller (larger) than the key in the root of subtree.  the values in all nodes in the left subtree of a node are less than          <br>  the node value<br> the values in all nodes in the right subtree of a node are greater <br>  than the node values<br><br>,what binary search tree similar binary tree the keys nonempty left subtree right subtree smaller larger key root subtree values nodes left subtree node less br node value br values nodes right subtree node greater br node values br br
1496,64,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,what main advantages associated object oriented programming object oriented programming allows programmers use object classes changed manipulated affecting entire object once the classes hold attrubutes affect object
1497,782,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,using index outside bounds array generates error is compilation error run time error compilation error
1498,825,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by-dimensional arrays are stored by row,how bi dimensional arrays stored memory rows columns by dimensional arrays stored row
1499,329,2023-05-02,How many constructors can be created for a class?,Unlimited number.,1,how many constructors created class
1500,803,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,using index outside bounds array generates error is compilation error run time error compilation error
1501,200,2023-07-01,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,NO ANSWER,what main difference do while statement no answer
1502,1604,2023-04-09,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.","A linked list with Stack principles. The Queue's top element is the element that is always being removed first. Must use nodes to contain each element, with a pointer to the top element, which also could  be called the head pointer.",how implement queue list linked list stack principles the queue top element element always removed first must use nodes contain element pointer top element also could called head pointer
1503,288,2023-03-02,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","A constructor cannot return values, not even void, but function get a return value.",what difference constructor function constructor cannot return values even void function get return value
1504,1262,2023-05-07,What is the difference between a circular linked list and a basic linked list?,The last element in a circular linked list points to the head of the list.,"in a circular linked list, the last node contains a pointer that goes back to the first node; in a basic linked list, the last node contains a null pointer<br>",what difference circular linked list basic linked list circular linked list last node contains pointer goes back first node basic linked list last node contains null pointer br
1505,1247,2023-05-07,What is the difference between a circular linked list and a basic linked list?,The last element in a circular linked list points to the head of the list.,"Circular linked lists are most useful for describing naturally circular structures, and have the advantage of regular structure and being able to traverse the list starting at any point.",what difference circular linked list basic linked list circular linked lists useful describing naturally circular structures advantage regular structure able traverse list starting point
1506,1862,2023-07-10,How many comparisons does it take to find an element in a binary search tree?,The height of the tree (or log of the number of elements in the tree).,2 way key comparison,how many comparisons take find element binary search tree way key comparison
1507,822,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,By column.,how bi dimensional arrays stored memory rows columns by column
1508,781,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
1509,794,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Generates a compilation error. The compiler will complain that the variable you are referring to was never declared.,using index outside bounds array generates error is compilation error run time error generates compilation error the compiler complain variable referring never declared
1510,1071,2023-05-06,What does the sizeof operator return?,The size in bytes of its operand.,"The size of an operand in bytes. Used with variable names, type names, and constant values",what sizeof operator return the size operand bytes used variable names type names constant values
1511,852,2023-01-05,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",Take a number and choose a pivot point and insert the number in the correct position from the pivot point.,in one sentence main idea implemented insertion sort take number choose pivot point insert number correct position pivot point
1512,47,2023-02-01, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7)," Depending on how the work is done, Testing is spread throughout the <br>process as to prevent errors from showing up later on due to lack of<br>foresight.<br>",what stages software life cycle influenced testing stage depending work done testing spread throughout br process prevent errors showing later due lack of br foresight br
1513,823,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,columns,how bi dimensional arrays stored memory rows columns columns
1514,682,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,strings declared using an array of characters could result in data loss if character array not initialized large enough.,what main difference strings declared using type string versus strings declared using array characters strings declared using array characters could result data loss character array initialized large enough
1515,1982,2023-04-11,What is a function signature?,"The name of the function and the list of parameters, including their types.","function sig is, is what is the class recognizes as the main function, or rather its specification",what function signature function sig is class recognizes main function rather specification
1516,823,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,columns,how bi dimensional arrays stored memory rows columns columns
1517,1360,2023-02-08,What are the two main functions defined by a stack?,push and pop,"push and pop, push puts an object into the list, and pop takes the last object off.",what two main functions defined stack push pop push puts object list pop takes last object off
1518,1494,2023-07-08,What operations would you need to perform to find a given element on a stack?,"Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack.",if top item != given element<br>pop the stack.<br>Repeat until item is found or stack is empty,what operations would need perform find given element stack top item given element br pop stack br repeat item found stack empty
1519,331,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
1520,745,2023-04-04,"What is the difference between an array declared as static, and one that is not?","The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called.",not answered,what difference array declared static one not answered
1521,351,2023-05-02,How many constructors can be created for a class?,Unlimited number.,one,how many constructors created class one
1522,2192,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,not answered,what experimental approach measuring running time algorithm answered
1523,823,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,columns,how bi dimensional arrays stored memory rows columns columns
1524,669,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,"By using an array of characters, you are limited to the size of the array of characters.<br><br>By declaring by type the end of the string is acknowledged by white space.",what main difference strings declared using type string versus strings declared using array characters by using array characters limited size array characters br br by declaring type end string acknowledged white space
1525,372,2023-06-02,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","prototype states all functions in that class before compilation, where the definition actually holds the source for the functions",what difference function prototype function definition prototype states functions class compilation definition actually holds source functions
1526,2198,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,not answered,what experimental approach measuring running time algorithm answered
1527,2442,2023-10-12,How many steps does it take to search a node in a binary search tree?,The height of the tree.,it depends on the install search tree then from there for whatever the case is the it repeats it back along the case of the primary node,how many steps take search node binary search tree depends install search tree whatever case repeats back along case primary node
1528,546,2023-05-03,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","It examines the names, types, and order of arguments on each function.",how overloaded functions differentiated compiler it examines names types order arguments function
1529,331,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
1530,1776,2023-04-10,What is a binary tree?,A tree for which the maximum number of children per node is two.,"a tree with only 2 joints, left and right",what binary tree tree joints left right
1531,789,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
1532,1850,2023-07-10,How many comparisons does it take to find an element in a binary search tree?,The height of the tree (or log of the number of elements in the tree).,nLog(n),how many comparisons take find element binary search tree nlog
1533,1473,2023-06-08,How are infix expressions evaluated by computers?,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",convert infix expressions to postfix expression and evaluate the postfix expression,how infix expressions evaluated computers convert infix expressions postfix expression evaluate postfix expression
1534,1687,2023-07-09,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue,"a queue, because it takes the job that has waited the longest",what data structure appropriate scheduling printing jobs printer stack queue queue takes job waited longest
1535,1870,2023-01-11,What are the elements typically included in a class definition?,Function members and data members.,return type and input parameters,what elements typically included class definition return type input parameters
1536,1503,2023-07-08,What operations would you need to perform to find a given element on a stack?,"Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack.",you would pop each element and compare it to what you are looking for and then push it back on the stack so that it is not lost,what operations would need perform find given element stack would pop element compare looking push back stack lost
1537,156,2023-06-01,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables), They are usually declared at the beginning before they can be used in the program. They always contain a name and a data type.<br>,where variables declared program they usually declared beginning used program they always contain name data type br
1538,331,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
1539,1931,2023-03-11,How are objects initialized when they are created?,By using constructors.,When the class is called by the Constructor,how objects initialized created when class called constructor
1540,1017,2023-03-06,What does the star (*) operator return?,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.,The star operator returns the object at that memory location.,what star operator return the star operator returns object memory location
1541,2327,2023-06-12,What is a queue?,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,Is a list of items where the the user only has access to the first element and each new element is added at the end.,what queue is list items user access first element new element added end
1542,1928,2023-03-11,How are objects initialized when they are created?,By using constructors.,objectname classname();<br><br>to call a function from the class:<br><br>objectname.funciton();,how objects initialized created objectname classname br br to call function class br br objectname funciton
1543,2255,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.",Selection sort works by finding the smallest element and then compares it with the largest and sorts the elements.,briefly selection sort work selection sort works finding smallest element compares largest sorts elements
1544,1107,2023-06-06,What are the different ways to pass a pointer to a function?,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data.","you can pass it where either the pointer cant be moved, the data pointed to cant be changed, or both or neither",what different ways pass pointer function pass either pointer cant moved data pointed cant changed neither
1545,129,2023-05-01, What is a variable?,A location in memory that can store a value.,a value/word that can assume any of a set of values,what variable value word assume set values
1546,610,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,Both are based on a control statement.<br>Both involve repetition.<br>Both involve a termination test.<br>Both gradually approach termination.<br>Both can occur infinitely.<br><br>,what similarities iteration recursion both based control statement br both involve repetition br both involve termination test br both gradually approach termination br both occur infinitely br br
1547,694,2023-03-04,How are arrays passed to functions?,by reference.,-Arrays are passed by reference <br><br>      -Individual array elements passed by value<br><br>      -Functions that take arrays as arguments <br><br>      -Function prototypes may include parameter names<br><br>      -const array parameters,how arrays passed functions arrays passed reference br br individual array elements passed value br br functions take arrays arguments br br function prototypes may include parameter names br br const array parameters
1548,375,2023-06-02,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",Function prototypes describe the class's public interface,what difference function prototype function definition function prototypes describe class public interface
1549,387,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",No,what role header file no
1550,2244,2023-03-12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,n^2; n!; n^3; 2^(log n); log(log n),order following functions running time log log log n n n log log log
1551,1937,2023-03-11,How are objects initialized when they are created?,By using constructors.,"Objects are initialized essentially as copies of the corresponding classes, complete with their own separate variables.",how objects initialized created objects initialized essentially copies corresponding classes complete separate variables
1552,1550,2023-02-09,What are the two main functions defined by a queue?,enqueue and dequeue,"The two functions are, Enqueue and Dequeue",what two main functions defined queue the two functions are enqueue dequeue
1553,1754,2023-03-10,What is a leaf?,A node that has no children.,the last child on any branch,what leaf last child branch
1554,1272,2023-06-07,What is the main advantage of a doubly-linked list over a basic linked list?,"All the deletion and insertion operations can be performed in constant time, including those operations performed before a given location in the list or at the end of the list.",Doubly linked lists can be traversed in both directions,what main advantage doubly linked list basic linked list doubly linked lists traversed directions
1555,209,2023-01-02,What is typically included in a class definition?,Data members (attributes) and member functions.," It's specific class name, includes only information defined by that class... implementation details... etc.",what typically included class definition it specific class name includes information defined class implementation details etc
1556,2085,2023-08-11,What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?,The char[] will automatically add a null \0 character at the end of the string.,character arrays can call on individual letters were a string array can only call words.,what main difference string characters read variable type string versus variable type char character arrays call individual letters string array call words
1557,492,2023-03-03,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,it generates a copy of the function's coding which eliminates calling the function,how compiler handle inline functions generates copy function coding eliminates calling function
1558,64,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,what main advantages associated object oriented programming object oriented programming allows programmers use object classes changed manipulated affecting entire object once the classes hold attrubutes affect object
1559,2266,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.","selection sort works by pulling all of the values off to the side, leaving one value in the list.  It will then insert a value into the list.  if the value is bigger it will go to the right, if smaller if will go to the left.",briefly selection sort work selection sort works pulling values side leaving one value list it insert value list value bigger go right smaller go left
1560,840,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,No answer,how bi dimensional arrays stored memory rows columns no answer
1561,2355,2023-07-12,What are the main operations associated with a stack?,push and pop,"Push, Pop",what main operations associated stack push pop
1562,1316,2023-07-07,What is the main disadvantage of a doubly-linked list over a basic linked list?,Extra space required to store the back pointers.,not answered,what main disadvantage doubly linked list basic linked list answered
1563,1925,2023-03-11,How are objects initialized when they are created?,By using constructors.,not answered,how objects initialized created answered
1564,2381,2023-08-12,What is the Euler tour traversal of a tree?,"A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right.",not answered,what euler tour traversal tree answered
1565,247,2023-02-02,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.," A data member is a more general term describing all objects instantiated within a member function.  ""Local"" in local variables refers more to the scope of a variable, which may be located in anything from a control structure to a class.  Local variables whose scope are in a member function are the same as data members of member functions.",what difference data member local variable inside member function data member general term describing objects instantiated within member function local local variables refers scope variable may located anything control structure class local variables whose scope member function data members member functions
1566,2243,2023-03-12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(log n); n^2; n^3; n!; 2^(log n),order following functions running time log log log n log log n n log
1567,1052,2023-04-06,How can an array be addressed in pointer/offset notation?,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",&[b3] is as bptr + 3.<br>Array can be treated as pointer,how array addressed pointer offset notation bptr br array treated pointer
1568,1269,2023-06-07,What is the main advantage of a doubly-linked list over a basic linked list?,"All the deletion and insertion operations can be performed in constant time, including those operations performed before a given location in the list or at the end of the list.","Doubly-linked lists can traverse backwards, though they still cannot access data at any point in the list, it can be shorter to traverse backwards.",what main advantage doubly linked list basic linked list doubly linked lists traverse backwards though still cannot access data point list shorter traverse backwards
1569,1489,2023-07-08,What operations would you need to perform to find a given element on a stack?,"Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack.",pop and push,what operations would need perform find given element stack pop push
1570,2192,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,not answered,what experimental approach measuring running time algorithm answered
1571,329,2023-05-02,How many constructors can be created for a class?,Unlimited number.,1,how many constructors created class
1572,195,2023-07-01,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,the loop body always executes at least once<br>,what main difference do while statement loop body always executes least once br
1573,1451,2023-05-08,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",array based list is preferred because it can hold any size as long as u specify it.,which implementation array based vs list based preferred why array based list preferred hold size long specify it
1574,37,2023-02-01, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7), Refining the solution,what stages software life cycle influenced testing stage refining solution
1575,1662,2023-06-09,What is the stack operation corresponding to the enqueue operation in queues?,push,FIFO: First in First out,what stack operation corresponding enqueue operation queues fifo first first
1576,612,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,not answered,what similarities iteration recursion answered
1577,324,2023-05-02,How many constructors can be created for a class?,Unlimited number.,Just one per class.,how many constructors created class just one per class
1578,1862,2023-07-10,How many comparisons does it take to find an element in a binary search tree?,The height of the tree (or log of the number of elements in the tree).,2 way key comparison,how many comparisons take find element binary search tree way key comparison
1579,1443,2023-05-08,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",Array is preferred.  Linked list implementation requires extra space to store pointers.  Space is allocated dynamically in the list-based which takes more time.,which implementation array based vs list based preferred why array preferred linked list implementation requires extra space store pointers space allocated dynamically list based takes time
1580,1868,2023-01-11,What are the elements typically included in a class definition?,Function members and data members.,the functions and variables used when the object is defined for the class.,what elements typically included class definition functions variables used object defined class
1581,331,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
1582,2141,2023-10-11,Briefly describe in one sentence how does merge sort work?,"It splits the original array into two, sorts each of the two halves, and then merges the sorted arrays.",By divide and conquer.,briefly describe one sentence merge sort work by divide conquer
1583,803,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,using index outside bounds array generates error is compilation error run time error compilation error
1584,324,2023-05-02,How many constructors can be created for a class?,Unlimited number.,Just one per class.,how many constructors created class just one per class
1585,366,2023-06-02,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",a prototype declares what will be used in the program and the definition,what difference function prototype function definition prototype declares used program definition
1586,392,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",A header file allows for the separation of declaration and implementation into separate files.,what role header file header file allows separation declaration implementation separate files
1587,1451,2023-05-08,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",array based list is preferred because it can hold any size as long as u specify it.,which implementation array based vs list based preferred why array based list preferred hold size long specify it
1588,1628,2023-05-09,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)","list based, because of the lessened memory usage initially, and the increased limits on how large the que can become.",which implementation array based vs list based preferred queue why list based lessened memory usage initially increased limits large que become
1589,2266,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.","selection sort works by pulling all of the values off to the side, leaving one value in the list.  It will then insert a value into the list.  if the value is bigger it will go to the right, if smaller if will go to the left.",briefly selection sort work selection sort works pulling values side leaving one value list it insert value list value bigger go right smaller go left
1590,2410,2023-09-12,How do you delete a node from a binary search tree?,"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).",you cannot delete a node because that can cause a node to have more than 2 children,how delete node binary search tree cannot delete node cause node children
1591,934,2023-04-05,What is the base case for a recursive implementation of merge sort?,When the size of the array to be sorted is 1 (or 2),"T(n) = 0, if n&lt;2.",what base case recursive implementation merge sort n lt
1592,2198,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,not answered,what experimental approach measuring running time algorithm answered
1593,1946,2023-03-11,How are objects initialized when they are created?,By using constructors.,Objects are assigned a space in memory when they are created. the name given to the object points to the memory address where the objects data resides.,how objects initialized created objects assigned space memory created name given object points memory address objects data resides
1594,2047,2023-07-11,What is the difference between an array that is declared as static and one that is not?,The static arrays are intialized only once when the function is called.,An array declared static remains the same throughout the execution of the program.,what difference array declared static one not an array declared static remains throughout execution program
1595,53,2023-02-01, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7)," Removing logical errors, testing for valid data, random data and actual data.",what stages software life cycle influenced testing stage removing logical errors testing valid data random data actual data
1596,304,2023-04-02,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",Before the main function of the code.,when create default constructor before main function code
1597,577,2023-06-03,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.","If at each recursive call the problem does not diminish or if it does not diminish to a base case, can cause infinite recursion.",when defining recursive function possible causes infinite recursion if recursive call problem diminish diminish base case cause infinite recursion
1598,840,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,No answer,how bi dimensional arrays stored memory rows columns no answer
1599,2316,2023-06-12,What is a queue?,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,A queue is a First in First out data structure much like a line for a movie theatre.  The first object in line is the first object to be handled or enacted upon.,what queue queue first first data structure much like line movie theatre the first object line first object handled enacted upon
1600,64,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,what main advantages associated object oriented programming object oriented programming allows programmers use object classes changed manipulated affecting entire object once the classes hold attrubutes affect object
1601,1792,2023-05-10,What is a binary search tree?,A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,A binary search tree is a binary tree where the value in any node 'n' is greater than the value in every node in n's left subtree but less than every node in n's right subtree.,what binary search tree binary search tree binary tree value node greater value every node s left subtree less every node s right subtree
1602,800,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,using index outside bounds array generates error is compilation error run time error run time error
1603,1935,2023-03-11,How are objects initialized when they are created?,By using constructors.,"variables are set to a given value, or 0 if none is given.",how objects initialized created variables set given value none given
1604,2237,2023-03-12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"2^(log n), n^3, n^2,  log(log n), n!",order following functions running time log log log n log n log log n
1605,1818,2023-06-10,What is the inorder traversal of a binary tree?,"Traverse the left subtree, then the root, then the right subtree.",Its used to visit nodes of a binary search tree in a search key order.,what inorder traversal binary tree its used visit nodes binary search tree search key order
1606,862,2023-01-05,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",the insertion sort creates a new array and inserts each item in its place with respect to the new array.,in one sentence main idea implemented insertion sort insertion sort creates new array inserts item place respect new array
1607,483,2023-03-03,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,the function is not treated as a separate unit like other functions,how compiler handle inline functions function treated separate unit like functions
1608,361,2023-06-02,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",Function prototype is located in the .h file and only contains the access function name and paramater type.<br><br>Function definition contains the code for the function to perform its activity.,what difference function prototype function definition function prototype located file contains access function name paramater type br br function definition contains code function perform activity
